time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/explained_variance,train/std,train/n_updates,train/policy_objective,train/value_loss
1995,442.0,464,1379.90919936,950272,476,0.001,0.009604847058653831,1.0,0.9971486392896622,0.22985237836837769,463,0.058903176337480545,1.7878772549331188
1999,449.03,465,1400.97609028,952320,476,0.001,0.009819178842008114,1.0,0.993510854896158,0.2298181653022766,464,0.04980870336294174,0.9634804237633944
2003,447.88,466,1400.3675569200004,954368,476,0.001,0.009434297680854797,1.0,0.998768963618204,0.22998666763305664,465,0.04277762770652771,1.0478655787184834
2007,445.3,467,1392.9337418399998,956416,476,0.001,0.009741772897541523,1.0,0.9983602759893984,0.23046119511127472,466,0.12385715544223785,2.1038267087191342
2012,443.54,468,1385.9724629700002,958464,476,0.001,0.009253009222447872,1.0,0.9983006118563935,0.23032361268997192,467,0.06825721263885498,1.474073439091444
2015,446.23,469,1394.5694267899996,960512,476,0.001,0.009775097481906414,1.0,0.9987445918377489,0.22968964278697968,468,0.1271885335445404,1.6185279438272118
2021,440.23,470,1377.12671825,962560,476,0.001,0.009853527881205082,1.0,0.998488335753791,0.22868265211582184,469,0.060860611498355865,1.7442899726331234
2024,439.17,471,1371.8392142500002,964608,476,0.001,0.0096006840467453,1.0,0.9987156072165817,0.22978799045085907,470,0.06057191640138626,2.4209668219089506
2029,435.97,472,1363.2864952,966656,476,0.001,0.009682334028184414,1.0,0.9972605600487441,0.22907328605651855,471,0.07420545816421509,1.5571084655821323
2033,436.2,473,1362.9828584599998,968704,476,0.001,0.0063918586820364,1.0,0.9982284789439291,0.2290126234292984,472,0.13762812316417694,1.6416227094829083
2039,438.92,474,1370.7622534700004,970752,475,0.001,0.009890484623610973,1.0,0.9982751894276589,0.22824597358703613,473,0.12523283064365387,1.0595343805849553
2043,438.33,475,1370.2958264500003,972800,475,0.001,0.006808029022067785,1.0,0.9964967500418425,0.22852963209152222,474,0.05790308117866516,0.542779078707099
2048,440.73,476,1377.0513438000003,974848,475,0.001,0.00994108710438013,1.0,0.9983920197701082,0.2286314219236374,475,0.05975817143917084,1.8013251598924398
2052,444.25,477,1387.4829341100003,976896,475,0.001,0.00978605356067419,1.0,0.9989334905985743,0.22849653661251068,476,0.10404631495475769,1.837592327222228
2057,442.54,478,1382.1191617699997,978944,475,0.001,0.006481016054749489,1.0,0.9992747438955121,0.22778861224651337,477,0.035415828227996826,1.457298793643713
2062,444.31,479,1390.9706595000002,980992,475,0.001,0.009150725789368153,1.0,0.9987857894739136,0.22835344076156616,478,0.12379024177789688,2.085971821844578
2066,440.16,480,1380.3526282799999,983040,475,0.001,0.009322998113930225,1.0,0.9986605375306681,0.22779123485088348,479,0.08245641738176346,3.046597541123629
2071,438.86,481,1379.8782017600004,985088,475,0.001,0.009848857298493385,1.0,0.9990792074240744,0.22811515629291534,480,0.07733648270368576,2.6834854014217853
2075,440.03,482,1383.0667641000002,987136,475,0.001,0.009517115540802479,1.0,0.9990482270368375,0.22798609733581543,481,0.09627673029899597,3.1851038679480554
2078,438.9,483,1380.9095611699997,989184,475,0.001,0.009829103015363216,1.0,0.998914219555445,0.22790031135082245,482,0.09787701070308685,1.924810828641057
2085,438.55,484,1382.0990078700002,991232,475,0.001,0.006473605055361986,1.0,0.998219809611328,0.22818998992443085,483,0.050314269959926605,1.3065129518508911
2088,438.26,485,1383.9687866499999,993280,475,0.001,0.009974834509193897,1.0,0.9989511970197782,0.2281917929649353,484,0.08371779322624207,1.88134372998029
2093,439.71,486,1387.8761140499998,995328,475,0.001,0.009910456836223602,1.0,0.9927965383976698,0.22920002043247223,485,0.058313291519880295,2.8464351527392866
2097,438.29,487,1384.3824036600004,997376,475,0.001,0.009608462452888489,1.0,0.9943078239448369,0.22790582478046417,486,0.03990437090396881,0.8309389190748334
2100,438.25,488,1382.57837908,999424,475,0.001,0.00995809119194746,1.0,0.998989746440202,0.22757045924663544,487,0.06815061718225479,0.9653714166954159
2106,439.34,489,1386.3109465899997,1001472,475,0.001,0.009503207169473171,1.0,0.9981171225663275,0.2281787246465683,488,0.060979295521974564,2.1202991269528866
2109,441.42,490,1392.0467494,1003520,475,0.001,0.009924462996423244,1.0,0.9983727494254708,0.22811710834503174,489,0.011798679828643799,1.3062411800026894
2114,445.65,491,1406.18811815,1005568,475,0.001,0.006345676723867655,1.0,0.9979219592642039,0.22834789752960205,490,0.061356257647275925,2.004227225482464
2117,442.55,492,1398.78209305,1007616,475,0.001,0.009248033165931702,1.0,0.9980915958294645,0.22762061655521393,491,0.06274637579917908,1.8521047160029411
2123,447.31,493,1414.8108908000002,1009664,475,0.001,0.009356929920613766,1.0,0.9985241607064381,0.22753165662288666,492,0.05915582925081253,2.323773746564984
2126,449.21,494,1423.3420807700002,1011712,475,0.001,0.009850923903286457,1.0,0.9985804113093764,0.22752462327480316,493,0.09429633617401123,0.9389988232403994
2131,448.02,495,1420.7178527500002,1013760,475,0.001,0.009293622337281704,1.0,0.998327309731394,0.22725456953048706,494,0.05955616012215614,1.9453300289809703
2134,443.91,496,1412.61230346,1015808,475,0.001,0.009813263081014156,1.0,0.9987833898048848,0.2267514020204544,495,0.08064444363117218,1.8481672462075949
2140,444.15,497,1412.4685735000003,1017856,475,0.001,0.009609617292881012,1.0,0.9988608693238348,0.22570417821407318,496,0.0745658278465271,3.164498383179307
2144,442.15,498,1406.5289728599998,1019904,475,0.001,0.009676936082541943,1.0,0.9982399687869474,0.22582823038101196,497,0.07494274526834488,1.157832627184689
2149,438.72,499,1395.3517723599998,1021952,475,0.001,0.00998752098530531,1.0,0.9982725774170831,0.2256278544664383,498,0.062398381531238556,1.9206651892513036
2153,436.83,500,1388.7531022700005,1024000,475,0.001,0.009581007994711399,1.0,0.9990747467963956,0.2259046584367752,499,0.08623433858156204,1.359007268026471
2159,436.79,501,1388.19757751,1026048,475,0.001,0.009522699750959873,1.0,0.9989325499627739,0.2254742830991745,500,0.05267634615302086,1.689976204931736
