time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/policy_objective,train/kl_divergence_loss,train/learning_rate,train/explained_variance,train/is_line_search_success,train/std,train/n_updates,train/value_loss
424,247808,216.66,583,121,699.78012059,0.08113401383161545,0.009127723053097725,0.001,0.976077489554882,1.0,0.4849911630153656,120,36.20618312358856
428,249856,217.88,583,122,707.4401664599999,0.06774388253688812,0.007220935542136431,0.001,0.9929256732575595,1.0,0.4745107591152191,121,17.447875347733497
431,251904,218.27,583,123,709.7427163399999,0.07293207943439484,0.006844766438007355,0.001,0.9920700564980507,1.0,0.4728447198867798,122,22.07536517083645
435,253952,218.24,583,124,707.93013102,0.08793269842863083,0.008076581172645092,0.001,0.9914081310853362,1.0,0.47540339827537537,123,22.368325293064117
439,256000,216.6,582,125,705.6824117300001,0.06634186953306198,0.0075934953056275845,0.001,0.9921842329204082,1.0,0.4782600402832031,124,21.00954288840294
443,258048,215.28,582,126,700.9044435,0.053353697061538696,0.008709919638931751,0.001,0.9830872099846601,1.0,0.47389769554138184,125,36.41315912008285
446,260096,214.48,582,127,699.4285547100001,0.06023680418729782,0.008479957468807697,0.001,0.9779483303427696,1.0,0.47513556480407715,126,55.60403832793236
450,262144,213.09,581,128,692.3448014100002,0.06914475560188293,0.00858027208596468,0.001,0.9898156309500337,1.0,0.4673520028591156,127,25.438172337412833
454,264192,215.31,581,129,697.3897618399999,0.06739179790019989,0.008008780889213085,0.001,0.9915366899222136,1.0,0.46377095580101013,128,17.797316944599153
458,266240,216.27,580,130,701.2253953500002,0.054356448352336884,0.006540464702993631,0.001,0.9877872690558434,1.0,0.46581944823265076,129,25.47563698887825
461,268288,217.2,580,131,704.60040481,0.058177679777145386,0.007811602205038071,0.001,0.9928690055385232,1.0,0.4546671211719513,130,20.592726814746857
465,270336,218.7,580,132,710.29975184,0.06923621147871017,0.009044782258570194,0.001,0.9954697471112013,1.0,0.4515814781188965,131,15.178669771552086
468,272384,221.19,580,133,715.40122585,0.07025869190692902,0.008044359274208546,0.001,0.9925045929849148,1.0,0.44813135266304016,132,19.649283879995345
472,274432,221.51,581,134,715.2830807,0.08724506199359894,0.007542620878666639,0.001,0.9931061454117298,1.0,0.4574110805988312,133,16.03430651128292
475,276480,222.25,581,135,715.5603355899999,0.08449329435825348,0.008269458077847958,0.001,0.9950246470980346,1.0,0.45758724212646484,134,14.412253433465958
479,278528,223.98,581,136,722.12271155,0.06910505890846252,0.00836379174143076,0.001,0.9930919460020959,1.0,0.4548591673374176,135,17.76487608253956
